"norad_id","epoch","bstar","mean_motion","mean_motion_dot","eccentricity","perigee_km","apogee_km","semi_major_axis_km","source_group"
28485,"2026-08-24 17:24:39.29+00",0.00048076,15.757486,0.00079203,0.000139,341.5675,343.43582,6720.6387,"spacetrack"
28485,"2026-08-25 16:11:58.185+00",0.00046425,15.758926,0.00076981,0.0001272,341.23734,342.94696,6720.229,"spacetrack"
28485,"2026-08-26 13:28:01.152+00",0.00045315,15.760246,0.00075587,0.0001027,341.027,342.40726,6719.854,"spacetrack"
28485,"2026-08-27 15:17:15.464+00",0.00076151,15.7632065,0.00128786,7.42e-05,340.3772,341.3743,6719.0127,"spacetrack"
28485,"2026-08-28 21:39:35.732+00",0.00083381,15.766238,0.00143056,3.17e-05,339.80133,340.22723,6718.1514,"spacetrack"
28485,"2026-08-29 14:21:43.263+00",0.00086192,15.768234,0.00149268,1.1e-05,339.3734,339.5212,6717.5845,"spacetrack"
28738,"2026-08-22 01:03:10.346+00",0.00049418,15.775575,0.0008249,0.0005934,333.37848,341.34842,6715.5005,"spacetrack"
28738,"2026-08-23 12:03:52.673+00",0.00048006,15.777899,0.00080942,0.0005847,332.7778,340.63013,6714.841,"spacetrack"
28738,"2026-08-24 07:51:05.801+00",0.00049112,15.779202,0.00083316,0.0005933,332.35034,340.31775,6714.471,"spacetrack"
28738,"2026-08-25 08:12:09.138+00",0.00052641,15.780875,0.00090049,0.0005892,331.9038,339.81558,6713.9966,"spacetrack"
28738,"2026-08-26 00:56:32.315+00",0.00047631,15.782031,0.00081805,0.0005793,331.64264,339.4211,6713.669,"spacetrack"
28738,"2026-08-27 11:56:23.256+00",0.00054544,15.784364,0.0009481,0.0005502,331.17694,338.56393,6713.0073,"spacetrack"
28738,"2026-08-28 07:43:07.347+00",0.00050455,15.785612,0.00088116,0.0005553,330.78897,338.24405,6712.6533,"spacetrack"
28738,"2026-08-29 23:16:17.122+00",0.00051017,15.788619,0.00090332,0.0005584,329.91617,337.41193,6711.8013,"spacetrack"
28980,"2026-08-22 12:49:22.672+00",0.00067835,12.218309,0.00018194,0.1616655,297.28046,2871.8726,7962.7134,"spacetrack"
28980,"2026-08-23 14:22:12.827+00",0.00061665,12.218703,0.00016463,0.1616526,297.23978,2871.571,7962.5425,"spacetrack"
28980,"2026-08-24 08:03:22.87+00",0.00065817,12.218963,0.00017645,0.1616422,297.22797,2871.3572,7962.4297,"spacetrack"
28980,"2026-08-25 13:31:56.652+00",0.00069789,12.219417,0.00018792,0.1616286,297.1712,2871.0203,7962.233,"spacetrack"
28980,"2026-08-26 01:19:21.005+00",0.00073117,12.219616,0.00019731,0.1616167,297.19308,2870.8245,7962.146,"spacetrack"
28980,"2026-08-27 14:39:23.706+00",0.00079383,12.220255,0.00021543,0.1615982,297.10785,2870.355,7961.8687,"spacetrack"
28980,"2026-08-28 14:14:06.261+00",0.00068436,12.220605,0.00018444,0.1615836,297.09668,2870.0623,7961.7163,"spacetrack"
28980,"2026-08-29 13:48:46.272+00",0.00081278,12.221012,0.00022094,0.1615648,297.09805,2869.7073,7961.5396,"spacetrack"
28982,"2026-08-22 14:20:01.882+00",0.00064359,14.321291,0.00061864,0.0738359,255.75426,1313.492,7162.7603,"spacetrack"
28982,"2026-08-23 22:11:14.099+00",0.00066953,14.323029,0.00064441,0.0737586,255.77107,1312.3159,7162.1807,"spacetrack"
28982,"2026-08-24 19:58:45.767+00",0.00065085,14.3242445,0.00062623,0.0737057,255.77475,1311.5021,7161.7754,"spacetrack"
28982,"2026-08-25 19:26:44.854+00",0.00064542,14.325496,0.00062119,0.0736522,255.7715,1310.6711,7161.3584,"spacetrack"
28982,"2026-08-26 20:35:09.979+00",0.00061942,14.326743,0.00059568,0.0735967,255.78387,1309.8274,7160.943,"spacetrack"
28982,"2026-08-27 20:02:54.279+00",0.00064901,14.327869,0.0006247,0.0735433,255.81856,1309.0421,7160.5674,"spacetrack"
28982,"2026-08-28 19:30:31.795+00",0.00069581,14.329026,0.00067115,0.0734934,255.81886,1308.2711,7160.182,"spacetrack"
28982,"2026-08-29 20:38:32.627+00",0.00071994,14.3307085,0.00069552,0.0734224,255.80794,1307.1611,7159.6216,"spacetrack"
28983,"2026-08-22 05:48:24.879+00",0.00082538,12.419618,0.00025233,0.153054,292.7781,2703.8179,7876.435,"spacetrack"
28983,"2026-08-23 14:40:09.481+00",0.00081336,12.42032,0.00024829,0.1530138,292.8433,2703.159,7876.138,"spacetrack"
28983,"2026-08-24 19:39:49.832+00",0.00081254,12.420954,0.00024805,0.1529843,292.84875,2702.6177,7875.87,"spacetrack"
28983,"2026-08-25 20:47:28.15+00",0.00078859,12.421502,0.00024039,0.1529561,292.8744,2702.1282,7875.638,"spacetrack"
28983,"2026-08-26 19:59:04.583+00",0.00074488,12.421953,0.00022651,0.1529334,292.89154,2701.7295,7875.4473,"spacetrack"
28983,"2026-08-27 23:02:32.996+00",0.00077768,12.422473,0.0002369,0.1529092,292.89606,2701.2856,7875.228,"spacetrack"
28983,"2026-08-28 18:22:07.786+00",0.00069421,12.422817,0.00021048,0.1528931,292.8996,2700.9912,7875.0825,"spacetrack"
28983,"2026-08-29 23:21:25.382+00",0.00082431,12.4234705,0.0002517,0.1528633,292.90054,2700.4382,7874.8066,"spacetrack"
30988,"2026-08-22 12:26:37.889+00",0.0019604,15.863069,0.00509384,0.0034618,289.48535,335.80966,6690.7847,"celestrak:debris"
30988,"2026-08-23 11:08:46.075+00",0.0019881,15.873008,0.00541787,0.0034021,287.1009,332.60733,6687.991,"celestrak:debris"
30988,"2026-08-24 17:23:33.402+00",0.0020709,15.887468,0.00605729,0.0033407,283.46625,328.12427,6683.932,"celestrak:debris"
32203,"2026-08-22 10:02:13.195+00",0.00054184,15.65494,0.00065173,0.0082142,316.37308,427.26404,6749.9556,"celestrak:debris"
32203,"2026-08-23 22:51:11.788+00",0.00053924,15.656838,0.00065357,0.0082019,315.9149,426.63086,6749.4097,"celestrak:debris"
32203,"2026-08-24 03:27:17.893+00",0.00056919,15.657175,0.00069071,0.0081864,315.92352,426.42868,6749.313,"celestrak:debris"
32203,"2026-08-28 10:12:26.984+00",0.00060987,15.662587,0.00075738,0.0081621,314.54523,424.69696,6747.7583,"celestrak:debris"
34383,"2026-08-22 15:34:41.513+00",0.0057514,15.915077,0.01851798,0.0022359,283.13583,312.99045,6676.2,"celestrak:debris"
34383,"2026-08-23 02:07:58.028+00",0.006122,15.93404,0.02145165,0.0021966,278.1118,307.4184,6670.902,"celestrak:debris"
34383,"2026-08-24 14:12:21.523+00",0.0060486,16.02116,0.03001932,0.0019231,255.77742,281.34195,6646.697,"celestrak:debris"
34383,"2026-08-25 15:35:24.83+00",0.0056325,16.152874,0.07755723,0.0017029,221.1213,243.63539,6610.515,"celestrak:debris"
34478,"2026-08-22 23:58:35.744+00",0.005855,15.784913,0.01143558,0.001869,322.16824,347.2609,6712.8516,"celestrak:debris"
34478,"2026-08-23 15:10:53.235+00",0.0060632,15.79865,0.01275818,0.0019167,317.96365,343.6818,6708.96,"celestrak:debris"
34478,"2026-08-24 06:22:18.682+00",0.0064277,15.814668,0.0145017,0.002014,312.78934,339.7948,6704.429,"celestrak:debris"
34478,"2026-08-25 06:38:43.936+00",0.0065219,15.840327,0.01691805,0.0021456,304.6801,333.4191,6697.1865,"celestrak:debris"
34478,"2026-08-27 05:32:34.026+00",0.0068806,15.908409,0.02126463,0.0024029,283.88177,315.97522,6678.0654,"celestrak:debris"
34478,"2026-08-28 23:41:51.677+00",0.007906,16.00293,0.03267432,0.0024559,257.27066,289.9427,6651.7437,"celestrak:debris"
37363,"2026-08-22 14:19:03.854+00",0.00021507,15.716556,0.00034575,0.0091366,292.6546,415.6753,6732.302,"spacetrack"
37363,"2026-08-23 22:24:17.613+00",0.00024204,15.717591,0.00039192,0.009117,292.4937,415.24512,6732.0063,"spacetrack"
37363,"2026-08-24 21:19:22.675+00",0.00022926,15.718357,0.00037183,0.0091075,292.34082,414.96033,6731.7876,"spacetrack"
37363,"2026-08-25 21:46:03.658+00",0.00022425,15.7191725,0.00036455,0.0090907,292.22342,414.61252,6731.555,"spacetrack"
37363,"2026-08-26 22:12:40.561+00",0.00022254,15.719899,0.00036259,0.0090728,292.13815,414.2825,6731.347,"spacetrack"
37363,"2026-08-27 22:39:13.388+00",0.00025157,15.720676,0.00041253,0.0090616,291.99365,413.9832,6731.1255,"spacetrack"
37363,"2026-08-28 21:34:02.722+00",0.00024811,15.721416,0.00040795,0.0090531,291.84164,413.71292,6730.914,"spacetrack"
37363,"2026-08-29 22:00:26.491+00",0.00026495,15.722378,0.0004379,0.009034,291.69846,413.30765,6730.64,"spacetrack"
37399,"2026-08-22 06:03:23.22+00",0.00055488,15.471904,0.7359867,0.0498217,86.00833,763.891,6803.087,"spacetrack"
38248,"2026-08-22 16:08:26.909+00",0.0005127,15.745003,0.00074765,0.0002557,344.33408,347.77283,6724.1904,"spacetrack"
38248,"2026-08-23 02:49:04.037+00",0.00051437,15.745681,0.00075233,0.0002603,344.11014,347.61066,6723.9976,"spacetrack"
38248,"2026-08-24 21:31:15.688+00",0.00049938,15.748427,0.00073897,0.0002859,343.1566,347.00092,6723.216,"spacetrack"
38248,"2026-08-25 14:17:42.821+00",0.0005132,15.749517,0.00076326,0.0002789,342.89355,346.6436,6722.906,"spacetrack"
38248,"2026-08-26 02:29:38.137+00",0.00051606,15.750335,0.0007703,0.0002891,342.59232,346.47937,6722.673,"spacetrack"
38248,"2026-08-27 02:53:22.635+00",0.00057097,15.751811,0.00085876,0.0002933,342.14432,346.0876,6722.253,"spacetrack"
38248,"2026-08-28 13:57:15.495+00",0.00047884,15.75393,0.00072551,0.0003017,341.4852,345.54105,6721.65,"spacetrack"
